Ground,Span,Span_2,Mat,Won,Tied,NR,Runs,Wkts,Balls,Ave,RPO,
"County Ground, Northampton - England",1999-1999,0,2,2,0,0,693,38,1079,18.23,3.85,
"Sophia Gardens, Cardiff - England",1999-2018,19,24,20,1,3,10234,316,11520,32.38,5.33,
"Riverside Ground, Chester-le-Street - England",1999-2018,19,16,14,0,2,6780,196,7859,34.59,5.17,
"Castle Avenue, Dublin - Ireland",1999-2019,20,25,23,1,1,9734,343,12137,28.37,4.81,
"Grange Cricket Club, Raeburn Place, Edinburgh - Scotland",1999-2019,20,21,18,0,3,9163,296,10289,30.95,5.34,
"VRA Ground, Amstelveen - Netherlands",1999-2018,19,21,19,1,1,8682,327,11103,26.55,4.69,
Galle International Stadium - Sri Lanka,1999-2017,18,6,6,0,0,2417,80,2941,30.21,4.93,
"Kallang Ground, Singapore - Singapore",1999-2000,1,9,8,0,1,3305,124,3851,26.65,5.14,
"Westpac Stadium, Wellington - New Zealand",2000-2019,19,31,29,0,2,13216,440,15662,30.03,5.06,
"Docklands Stadium, Melbourne - Australia",2000-2006,6,12,11,1,0,5414,184,6817,29.42,4.76,
"Senwes Park, Potchefstroom - South Africa",2000-2015,15,18,16,1,1,7986,235,9261,33.98,5.17,
"Barkatullah Khan Stadium, Pal Road, Jodhpur - India",2000-2002,2,2,2,0,0,970,34,1156,28.52,5.03,
Rangiri Dambulla International Stadium - Sri Lanka,2001-2018,17,55,52,0,3,21381,808,27795,26.46,4.61,
"Simba Union Ground, Nairobi - Kenya",2001-2001,0,1,1,0,0,516,14,597,36.85,5.18,
"Darren Sammy National Cricket Stadium, Gros Islet, St Lucia - West Indies",2002-2019,17,30,26,1,3,12263,377,14695,32.52,5,
"National Cricket Stadium, Tangier - Morocco",2002-2002,0,7,7,0,0,3196,114,4026,28.03,4.76,
"Indira Gandhi Stadium, Vijayawada - India",2002-2002,0,1,1,0,0,495,16,521,30.93,5.7,
Kwekwe Sports Club - Zimbabwe,2002-2002,0,1,1,0,0,454,10,564,45.4,4.82,
Queenstown Events Centre - New Zealand,2003-2014,11,9,7,0,2,2657,94,3413,28.26,4.67,
"City Oval, Pietermaritzburg - South Africa",2003-2003,0,2,2,0,0,691,22,869,31.4,4.77,
"The Rose Bowl, Southampton - England",2003-2019,16,23,22,0,1,10465,287,11404,36.46,5.5,
"Cazaly's Stadium, Cairns - Australia",2003-2003,0,2,2,0,0,507,23,732,22.04,4.15,
"TIO Stadium, Darwin - Australia",2003-2008,5,4,4,0,0,1282,61,1883,21.01,4.08,
Multan Cricket Stadium - Pakistan,2003-2008,5,7,7,0,0,3085,99,3733,31.16,4.95,
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam - India",2005-2018,13,8,7,1,0,4297,107,4373,40.15,5.89,
"Rajiv Gandhi International Stadium, Uppal, Hyderabad - India",2005-2019,14,6,6,0,0,3168,87,3439,36.41,5.52,
"Shaheed Chandu Stadium, Bogra - Bangladesh",2006-2006,0,5,5,0,0,1982,79,2671,25.08,4.45,
"Zahur Ahmed Chowdhury Stadium, Chattogram - Bangladesh",2006-2018,12,19,19,0,0,7520,266,9774,28.27,4.61,
"Sheikh Abu Naser Stadium, Khulna - Bangladesh",2006-2012,6,4,4,0,0,1517,50,2025,30.34,4.49,
"Khan Shaheb Osman Ali Stadium, Fatullah - Bangladesh",2006-2014,8,10,10,0,0,4779,147,5649,32.51,5.07,
"Holkar Cricket Stadium, Indore - India",2006-2017,11,5,5,0,0,2849,77,2922,37,5.85,
"Sheikh Zayed Stadium, Abu Dhabi - U.A.E.",2006-2019,13,45,45,0,0,20589,712,25502,28.91,4.84,
